Model,Seed,Accuracy,Precision,Recall,F1,LogLoss,Brier
1,5804,0.6779661016949152,0.7286821705426356,0.8103448275862069,0.7673469387755102,0.5680525823934862,0.1948951100625279
2,3476,0.7457627118644068,0.746031746031746,0.8785046728971962,0.8068669527896996,0.5214301253651251,0.17409273475231737
3,386,0.7175141242937854,0.7833333333333333,0.7966101694915254,0.7899159663865546,0.6056324777905542,0.20761421174043235
4,1974,0.7175141242937854,0.7068965517241379,0.8367346938775511,0.7663551401869159,0.5499411352955572,0.18691305111955187
5,8733,0.7175141242937854,0.7419354838709677,0.8363636363636363,0.7863247863247863,0.5267694983236445,0.17656373275991152
6,8350,0.7344632768361582,0.7651515151515151,0.8632478632478633,0.8112449799196787,0.4919375638979166,0.16316622647719262
7,6708,0.6610169491525424,0.7327586206896551,0.7456140350877193,0.7391304347826086,0.5953918407942732,0.20526990881291549
8,4771,0.672316384180791,0.6976744186046512,0.8256880733944955,0.7563025210084033,0.5899101011647024,0.20174240891023182
9,1693,0.7288135593220338,0.7734375,0.8389830508474576,0.8048780487804879,0.5720282142515272,0.19495625166305108
10,3209,0.711864406779661,0.7698412698412699,0.8151260504201681,0.7918367346938775,0.5520189029761962,0.1863806270824868
11,4008,0.6892655367231638,0.7372881355932204,0.7837837837837838,0.759825327510917,0.5925090636396965,0.20285673347645597
12,323,0.6440677966101694,0.6942148760330579,0.7636363636363637,0.7272727272727273,0.6077335828656135,0.2104721465651525
13,2923,0.7344632768361582,0.7786885245901639,0.8260869565217391,0.8016877637130801,0.5506739527882037,0.18449078714797834
14,7141,0.7627118644067796,0.7804878048780488,0.8648648648648649,0.8205128205128205,0.5693572082363639,0.19106305222256423
15,9289,0.7344632768361582,0.7538461538461538,0.8672566371681416,0.8065843621399177,0.5392236081789767,0.17951478748906013
16,9576,0.711864406779661,0.7209302325581395,0.8611111111111112,0.7848101265822784,0.5675007653367918,0.1931165319965314
17,3973,0.7231638418079096,0.7232142857142857,0.8181818181818182,0.7677725118483413,0.5546053837914,0.1878962047423522
18,5260,0.7344632768361582,0.7734375,0.8461538461538461,0.8081632653061225,0.5340354509205112,0.18083746124804947
19,2719,0.6779661016949152,0.7796610169491526,0.7479674796747967,0.7634854771784232,0.5986745528910237,0.20493437815752827
20,7845,0.6779661016949152,0.6666666666666666,0.8484848484848485,0.7466666666666667,0.6275805578523419,0.2185123101898529
21,5949,0.6497175141242938,0.7086614173228346,0.782608695652174,0.743801652892562,0.5940763139123462,0.2041023783433573
22,8509,0.7062146892655368,0.7542372881355932,0.7946428571428571,0.7739130434782608,0.6344206973499056,0.22098762737225397
23,5544,0.6779661016949152,0.6850393700787402,0.8365384615384616,0.7532467532467533,0.576293937420036,0.19576108775344567
24,886,0.6779661016949152,0.7333333333333333,0.7264150943396226,0.7298578199052133,0.5911561218739735,0.20296263723714628
25,2744,0.6610169491525424,0.7086614173228346,0.7964601769911505,0.75,0.5976941018436934,0.2083769678125314
26,6024,0.6949152542372882,0.6942148760330579,0.8316831683168316,0.7567567567567568,0.5648133203389618,0.19232510467250885
27,5951,0.7231638418079096,0.7948717948717948,0.788135593220339,0.7914893617021277,0.5913388025953755,0.2013496180035561
28,84,0.7401129943502824,0.7459016393442623,0.8584905660377359,0.7982456140350878,0.5808431926955226,0.1965569281379506
29,9607,0.711864406779661,0.7258064516129032,0.8411214953271028,0.7792207792207793,0.5477183551707836,0.18387852060323112
30,30,0.6892655367231638,0.696,0.8365384615384616,0.759825327510917,0.5987839525850863,0.20718583498211265
31,1363,0.7966101694915254,0.8372093023255814,0.8780487804878049,0.8571428571428571,0.578217282861292,0.1940183579288045
32,2326,0.7627118644067796,0.7661290322580645,0.8796296296296297,0.8189655172413793,0.5271494760861632,0.1729718009970644
33,7704,0.7175141242937854,0.7377049180327869,0.8333333333333334,0.782608695652174,0.5489015161864629,0.18368507025171776
34,6898,0.7457627118644068,0.7293233082706767,0.9150943396226415,0.8117154811715481,0.5373738524593002,0.18043432179541088
35,6027,0.7457627118644068,0.7819548872180451,0.8666666666666667,0.8221343873517787,0.5250565298380337,0.17384684990728186
36,8219,0.7231638418079096,0.7230769230769231,0.8785046728971962,0.7932489451476793,0.548310656626652,0.1848072321500575
37,3923,0.7344632768361582,0.7686567164179104,0.865546218487395,0.8142292490118577,0.5503909669321452,0.18435410434210112
38,5398,0.6949152542372882,0.7540983606557377,0.7931034482758621,0.773109243697479,0.5708255847757503,0.19683518934540492
39,5296,0.751412429378531,0.7538461538461538,0.8909090909090909,0.8166666666666667,0.5149791057791715,0.17106907553763454
40,8957,0.7344632768361582,0.7948717948717948,0.8017241379310345,0.7982832618025751,0.5662345749670494,0.1902906867059172
41,1561,0.6610169491525424,0.7398373983739838,0.7647058823529411,0.7520661157024794,0.5982120595019889,0.20814702303207172
42,4147,0.7175141242937854,0.7619047619047619,0.8275862068965517,0.7933884297520661,0.5975590411740123,0.20358909102654807
43,149,0.7062146892655368,0.7627118644067796,0.7894736842105263,0.7758620689655172,0.5721853888372914,0.19532793698210626
44,1528,0.7627118644067796,0.8067226890756303,0.8347826086956521,0.8205128205128205,0.5491478876943359,0.18366738922563006
45,542,0.6440677966101694,0.6746031746031746,0.794392523364486,0.7296137339055794,0.5912367019696505,0.20464913261566797
46,4174,0.7005649717514124,0.7398373983739838,0.8125,0.774468085106383,0.5854312402317434,0.20137594832342684
47,9545,0.7288135593220338,0.768,0.8347826086956521,0.8,0.5186401396379597,0.17405758185434977
48,5523,0.6949152542372882,0.7619047619047619,0.8,0.7804878048780488,0.5761881960126508,0.19775912451533456
49,3526,0.711864406779661,0.7348484848484849,0.8584070796460177,0.7918367346938775,0.5977427824909403,0.2037724952850265
50,2002,0.6666666666666666,0.7063492063492064,0.8018018018018018,0.7510548523206751,0.5592742236623907,0.19062989953348858
