Rank,Original Model #,Seed,Accuracy,Precision,Recall,F1,LogLoss,Brier
1,31,1363,0.7966101694915254,0.8372093023255814,0.8780487804878049,0.8571428571428571,0.578217282861292,0.1940183579288045
2,35,6027,0.7457627118644068,0.7819548872180451,0.8666666666666667,0.8221343873517787,0.5250565298380337,0.17384684990728186
3,14,7141,0.7627118644067796,0.7804878048780488,0.8648648648648649,0.8205128205128205,0.5693572082363639,0.19106305222256423
