,home-score,away-score,home-off,home-pass,home-pblk,home-recv,home-run,home-rblk,away-off,away-pass,away-pblk,away-recv,away-run,away-rblk,home-def,home-rdef,home-tack,home-prsh,home-cov,away-def,away-rdef,away-tack,away-prsh,away-cov
DC-NYG-09/26/2024,15,20,65.6,80.0,73.6,58.2,53.7,63.0,73.7,83.4,54.5,69.9,75.9,57.5,68.1,59.2,49.8,62.6,72.0,59.9,72.3,35.5,54.0,57.4
DC-PS-10/06/2024,17,20,64.4,55.7,61.2,57.9,75.4,67.6,66.6,67.9,42.7,71.1,58.3,68.5,72.3,68.8,68.1,83.2,60.5,65.3,52.2,59.0,80.9,70.7
DB-SS-09/08/2024,26,20,74.7,70.1,60.7,69.0,71.5,78.4,48.3,41.8,63.6,53.0,57.5,46.2,91.0,70.5,52.4,64.2,92.7,51.0,42.8,37.5,64.0,59.1
PS-DB-09/15/2024,6,13,53.1,49.9,60.0,60.8,56.7,43.6,70.2,73.9,54.4,70.9,56.9,71.0,59.8,64.3,60.1,63.5,53.5,74.4,84.5,75.7,67.7,69.3
DB-TBB-09/22/2024,7,26,66.8,60.0,58.1,61.3,67.5,77.4,68.2,71.6,80.8,63.0,68.1,54.8,71.1,61.7,49.7,57.0,80.9,76.8,45.3,41.0,69.2,86.3
DB-NYJ-09/29/2024,9,10,56.3,68.2,53.3,58.9,67.1,40.8,61.8,50.4,84.8,49.2,66.9,72.5,62.6,47.6,52.0,52.3,83.2,79.2,82.9,84.8,62.9,76.2
LVR-DB-10/06/2024,34,18,70.5,67.3,84.5,66.6,71.2,57.8,62.5,53.3,61.8,66.1,67.2,56.6,77.5,76.5,71.1,65.2,76.2,53.1,64.9,34.3,54.4,49.7
LAR-DL-09/08/2024,26,20,68.6,40.4,71.9,61.1,87.3,70.0,59.5,51.7,20.3,68.9,70.7,62.4,79.6,71.7,75.4,90.7,64.5,69.1,58.9,59.8,56.9,80.1
TBB-DL-09/15/2024,16,20,64.2,51.3,63.2,64.7,71.4,63.4,61.4,50.1,71.2,66.5,57.7,56.9,66.6,74.2,72.7,63.6,58.8,67.9,41.2,30.6,74.2,75.6
SS-DL-09/30/2024,42,29,84.2,80.5,76.6,84.7,68.8,69.7,71.4,59.8,48.1,70.3,93.8,53.9,69.8,44.8,40.7,80.5,68.4,51.7,68.0,58.4,63.7,33.4
GBP-PE-09/06/2024,34,29,67.3,33.3,87.6,74.8,48.4,75.5,69.4,60.7,77.7,63.9,73.2,70.8,56.4,44.8,44.5,60.0,64.2,51.5,52.5,62.9,61.5,51.2
IC-GBP-09/15/2024,16,10,70.4,75.1,80.9,71.2,70.0,57.4,57.2,42.5,85.7,52.9,68.5,66.0,64.0,48.6,57.1,50.2,77.1,57.1,60.8,50.7,46.0,55.1
GBP-TT-09/22/2024,14,30,59.5,52.9,61.3,62.4,60.7,51.3,66.7,68.0,82.3,58.4,80.4,55.2,53.7,61.9,42.7,51.1,47.1,72.4,74.0,58.9,75.9,66.2
MV-GBP-09/29/2024,29,31,71.0,67.8,82.6,64.3,72.8,61.0,70.4,47.3,83.6,76.8,69.4,63.2,55.8,61.2,65.6,53.4,57.1,60.2,61.3,47.8,50.7,65.1
GBP-LAR-10/06/2024,19,24,64.7,54.3,38.3,68.7,67.1,70.5,61.9,47.1,60.8,65.3,88.3,47.6,59.9,68.6,43.2,65.6,48.1,69.3,61.6,56.5,71.2,65.0
HT-IC-09/08/2024,27,29,79.8,69.5,81.2,63.7,69.3,90.2,73.4,66.4,61.9,70.1,74.1,69.2,59.7,46.7,67.9,62.1,70.5,47.6,43.5,60.2,58.5,49.6
HT-MV-09/22/2024,34,7,75.6,72.1,59.7,75.5,70.7,68.4,68.3,66.9,75.2,71.2,64.0,54.0,56.9,69.2,52.6,53.2,55.7,56.1,61.9,59.8,63.7,48.1
JJ-HT-09/29/2024,24,20,75.5,72.6,74.0,75.8,74.7,55.7,70.4,58.8,78.5,65.5,72.3,69.3,55.0,59.4,60.2,56.5,54.8,55.8,71.7,49.5,62.9,43.0
PS-IC-09/29/2024,27,24,66.1,56.8,48.3,79.3,44.9,67.1,69.0,64.7,63.1,67.7,69.7,65.5,67.1,67.6,50.4,79.3,57.5,64.1,62.9,67.0,77.6,51.2
IC-JJ-10/06/2024,37,34,76.6,85.7,85.9,67.5,69.7,62.1,81.5,86.2,84.9,73.5,66.2,70.8,63.1,63.1,88.5,61.6,60.0,62.9,54.8,29.7,49.1,73.8
JJ-MD-09/08/2024,20,17,75.8,72.3,78.9,62.4,77.2,83.9,67.1,74.2,64.8,68.1,68.0,49.6,60.9,77.9,47.8,61.9,46.8,50.4,48.1,33.0,59.6,51.8
KC-LAC-09/29/2024,10,17,53.2,63.7,43.3,65.6,41.5,55.9,73.6,81.3,60.9,66.1,65.9,74.3,61.2,68.9,69.2,72.2,48.2,75.0,83.8,49.4,76.9,56.5
NOS-KC-10/07/2024,26,13,77.3,65.5,64.6,75.6,71.4,73.5,54.1,63.9,22.9,62.3,65.6,45.3,76.3,72.3,71.9,90.0,61.0,46.6,40.5,53.1,60.4,49.7
LVR-LAC-09/08/2024,22,10,56.6,57.4,57.7,61.7,67.6,49.7,61.2,65.0,61.6,67.1,40.4,53.2,73.8,79.1,47.6,68.4,67.2,68.2,73.3,46.1,67.8,60.3
SF-LAR-09/22/2024,27,24,73.1,69.1,49.9,70.2,66.3,76.0,75.5,91.8,60.0,64.9,67.2,64.2,56.2,56.3,64.3,72.7,49.3,55.8,59.5,81.3,69.9,47.6
LAC-PS-09/22/2024,20,10,75.3,75.3,67.9,71.7,62.1,70.7,58.1,61.0,32.8,63.5,51.1,61.2,76.0,71.3,69.6,85.9,62.3,53.4,50.3,37.8,62.7,56.6
MD-SS-09/22/2024,24,3,74.9,72.1,54.6,74.0,82.4,62.1,56.2,47.4,77.6,58.9,53.5,64.1,63.7,59.2,64.9,62.4,64.0,58.2,52.8,32.6,72.0,54.0
TT-MD-09/30/2024,12,31,47.3,49.5,52.0,54.2,64.2,36.0,60.0,55.9,63.2,55.4,73.0,58.3,61.6,63.0,54.2,68.6,55.3,83.9,77.8,46.8,65.9,83.4
MD-NEP-10/06/2024,10,15,62.4,69.1,47.0,56.6,88.5,56.2,72.1,55.0,73.9,60.7,84.1,74.7,56.5,35.7,55.0,65.7,73.3,64.8,49.2,52.3,69.6,66.8
