Title,Roof,Surface,Vegas Line,Over/Under
"Pittsburgh Steelers at Indianapolis Colts - September 29th, 2024",retractable roof (closed),fieldturf,Pittsburgh Steelers -1.0,40.5 (over)
"Minnesota Vikings at Green Bay Packers - September 29th, 2024",outdoors,grass,Green Bay Packers -3.0,44.0 (over)
"Jacksonville Jaguars at Houston Texans - September 29th, 2024",retractable roof (closed),astroturf,Houston Texans -5.5,44.5 (under)
"Denver Broncos at New York Jets - September 29th, 2024",outdoors,fieldturf,New York Jets -9.0,40.0 (under)
"Philadelphia Eagles at Tampa Bay Buccaneers - September 29th, 2024",outdoors,grass,Philadelphia Eagles -1.0,42.5 (over)
"Washington Commanders at Arizona Cardinals - September 29th, 2024",retractable roof (closed),grass,Arizona Cardinals -3.5,48.5 (over)
"New England Patriots at San Francisco 49ers - September 29th, 2024",outdoors,grass,San Francisco 49ers -10.0,40.5 (over)
"Cleveland Browns at Las Vegas Raiders - September 29th, 2024",dome,grass,Cleveland Browns -2.5,36.5 (under)
"Kansas City Chiefs at Los Angeles Chargers - September 29th, 2024",dome,matrixturf,Kansas City Chiefs -7.0,41.0 (under)
"Buffalo Bills at Baltimore Ravens - September 29th, 2024",outdoors,grass,Baltimore Ravens -2.5,46.5 (under)
"Tennessee Titans at Miami Dolphins - September 30th, 2024",outdoors,grass,Miami Dolphins -2.5,37.0 (over)
"Seattle Seahawks at Detroit Lions - September 30th, 2024",dome,fieldturf,Detroit Lions -4.0,47.0 (over)
"Tampa Bay Buccaneers at Atlanta Falcons - October 3rd, 2024",retractable roof (closed),fieldturf,Atlanta Falcons -1.5,44.0 (over)
"New York Jets at Minnesota Vikings - October 6th, 2024",outdoors,grass,Minnesota Vikings -2.5,41.0 (under)
"Carolina Panthers at Chicago Bears - October 6th, 2024",outdoors,grass,Chicago Bears -4.0,40.5 (over)
"Baltimore Ravens at Cincinnati Bengals - October 6th, 2024",outdoors,fieldturf,Baltimore Ravens -1.0,48.5 (over)
"Buffalo Bills at Houston Texans - October 6th, 2024",retractable roof (closed),astroturf,Houston Texans -1.0,47.5 (under)
"Indianapolis Colts at Jacksonville Jaguars - October 6th, 2024",outdoors,grass,Jacksonville Jaguars -3.0,45.0 (over)
"Miami Dolphins at New England Patriots - October 6th, 2024",outdoors,fieldturf,Miami Dolphins -1.0,35.0 (under)
"Cleveland Browns at Washington Commanders - October 6th, 2024",outdoors,grass,Washington Commanders -3.0,43.5 (over)
"Las Vegas Raiders at Denver Broncos - October 6th, 2024",outdoors,grass,Denver Broncos -3.0,35.5 (over)
"Arizona Cardinals at San Francisco 49ers - October 6th, 2024",outdoors,grass,San Francisco 49ers -7.0,49.0 (under)
"Green Bay Packers at Los Angeles Rams - October 6th, 2024",dome,matrixturf,Green Bay Packers -3.0,48.5 (under)
"New York Giants at Seattle Seahawks - October 6th, 2024",outdoors,fieldturf,Seattle Seahawks -7.0,43.0 (over)
"Dallas Cowboys at Pittsburgh Steelers - October 6th, 2024",outdoors,grass,Pittsburgh Steelers -2.5,43.5 (under)
"New Orleans Saints at Kansas City Chiefs - October 7th, 2024",outdoors,grass,Kansas City Chiefs -5.5,43.0 (under)
