Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
21,Georgetown,4,BE,21-10,21,10,0.6774193548387096,16.6,110.3,40,93.7,25,64.4,188,-0.002,188,8.6,9,107.6,4,99.0,27,,57
22,Louisville,4,ACC,24-8,24,8,0.75,16.3,105.7,98,89.4,6,65.5,138,0.027,115,6.9,18,106.2,29,99.3,38,,234
23,Iowa,7,B10,21-11,21,11,0.65625,15.9,111.0,35,95.1,40,64.3,199,-0.003,191,5.9,27,105.4,49,99.5,42,,208
24,Butler,6,BE,22-10,22,10,0.6875,15.8,107.5,67,91.7,11,63.8,229,-0.014,217,6.8,19,106.9,10,100.1,66,,184
25,Xavier,6,BE,21-13,21,13,0.6176470588235294,15.8,111.9,27,96.1,55,65.7,129,-0.063,317,8.6,8,106.7,13,98.1,11,,111
26,West Virginia,5,B12,23-9,23,9,0.71875,15.8,111.3,33,95.5,46,68.7,26,0.05,63,7.8,12,106.2,23,98.4,16,,257
27,Arkansas,5,SEC,26-8,26,8,0.7647058823529411,15.7,113.2,19,97.5,78,70.0,10,0.047,70,5.6,29,105.3,51,99.7,49,,242
28,Davidson,10,A10,24-7,24,7,0.7741935483870968,15.5,118.6,8,103.1,180,67.0,71,0.037,87,2.6,37,103.0,116,100.4,79,,236
29,Providence,6,BE,22-11,22,11,0.6666666666666666,15.2,110.7,38,95.5,47,65.7,126,0.043,74,8.9,6,107.2,7,98.3,13,,83
30,VCU,7,A10,26-9,26,9,0.7428571428571429,14.6,108.2,60,93.6,22,67.1,67,0.059,49,6.4,24,105.8,35,99.4,41,,12
31,Stephen F. Austin,12,Slnd,29-4,29,4,0.8787878787878788,14.0,112.9,22,98.9,98,66.8,76,0.03,107,-3.6,57,101.3,216,104.9,295,,105
32,Maryland,4,B10,27-6,27,6,0.8181818181818182,13.7,108.4,57,94.7,37,64.5,186,0.131,2,5.4,31,105.7,41,100.3,77,,238
33,San Diego State,8,MWC,26-8,26,8,0.7647058823529411,13.7,102.2,169,88.5,4,60.7,335,0.014,143,2.2,42,103.3,104,101.1,104,,71
34,Ole Miss,11,SEC,21-12,21,12,0.6363636363636364,13.5,113.4,16,99.9,114,66.8,75,-0.045,286,6.4,25,105.0,62,98.6,20,,190
35,Georgia,10,SEC,21-11,21,11,0.65625,13.5,107.2,72,93.7,24,64.1,207,0.01,159,7.9,11,106.4,18,98.5,19,,141
36,Oklahoma State,9,B12,18-13,18,13,0.5806451612903226,13.1,109.4,50,96.3,59,63.3,257,-0.034,267,9.1,5,105.7,39,96.6,2,,217
37,North Carolina State,8,ACC,20-13,20,13,0.6060606060606061,13.1,111.4,32,98.3,90,64.4,190,-0.02,227,7.0,15,106.3,21,99.3,35,,199
38,Cincinnati,8,Amer,22-10,22,10,0.6875,13.0,106.4,82,93.4,20,60.0,341,-0.027,247,2.1,43,102.2,165,100.1,68,,114
39,UCLA,11,P12,20-13,20,13,0.6060606060606061,12.8,110.2,43,97.4,74,66.1,113,0.026,119,7.0,16,105.2,53,98.2,12,,82
40,Oregon,8,P12,25-9,25,9,0.7352941176470589,12.7,113.3,17,100.6,129,66.5,89,0.127,4,5.6,28,105.5,47,99.9,59,,265
41,LSU,9,SEC,22-10,22,10,0.6875,12.6,107.0,74,94.4,32,69.8,13,-0.027,249,4.4,34,104.0,89,99.6,46,,294
42,Dayton,11,A10,26-8,26,8,0.7647058823529411,12.3,106.9,76,94.6,35,63.7,239,0.032,100,2.5,39,103.0,115,100.5,84,,165
43,St. John's,9,BE,21-11,21,11,0.65625,12.2,108.0,61,95.8,51,67.1,63,0.058,53,6.6,20,106.4,20,99.8,52,,232
44,Indiana,10,B10,20-13,20,13,0.6060606060606061,11.7,116.5,9,104.8,217,66.6,85,-0.032,257,4.5,33,104.8,68,100.3,74,,318
45,Purdue,9,B10,21-12,21,12,0.6363636363636364,11.2,108.3,58,97.1,68,64.5,183,0.01,160,5.5,30,106.2,27,100.7,91,,272
46,Buffalo,12,MAC,23-9,23,9,0.71875,11.1,109.6,48,98.5,92,69.2,21,0.011,155,2.6,38,104.6,72,102.0,142,,53
47,Valparaiso,13,Horz,28-5,28,5,0.8484848484848485,9.6,103.9,127,94.3,29,62.7,280,0.07,37,-2.1,52,102.1,177,104.2,260,,282
48,Georgia State,14,SB,24-9,24,9,0.7272727272727273,9.5,108.6,56,99.1,101,63.3,259,-0.008,202,-1.7,50,100.1,293,101.8,130,,65
49,Harvard,13,Ivy,22-7,22,7,0.7586206896551724,7.4,102.0,171,94.6,36,61.5,317,0.114,8,-0.1,47,102.3,161,102.4,161,,137
50,New Mexico State,15,WAC,23-10,23,10,0.696969696969697,6.4,104.3,118,97.9,84,63.7,238,-0.051,299,-5.4,61,99.4,319,104.8,288,,152
51,Wofford,12,SC,28-6,28,6,0.8235294117647058,5.9,103.3,144,97.4,77,61.5,315,0.141,1,-3.2,53,102.4,153,105.6,322,,23
52,California-Irvine,13,BW,21-12,21,12,0.6363636363636364,5.3,103.7,135,98.4,91,63.7,232,-0.007,201,0.6,45,102.5,143,101.9,137,,77
53,Wyoming,12,MWC,25-9,25,9,0.7352941176470589,4.5,101.7,177,97.2,69,59.3,344,0.084,21,-1.9,51,100.7,263,102.6,165,,343
54,Northeastern,14,CAA,23-11,23,11,0.6764705882352942,3.4,105.8,97,102.4,167,63.6,244,0.037,88,-1.6,49,102.1,176,103.7,236,,120
55,UAB,14,CUSA,19-15,19,15,0.5588235294117647,3.1,103.5,140,100.4,126,64.9,164,0.011,156,-0.3,48,101.4,210,101.7,123,,59
56,Eastern Washington,13,BSky,26-8,26,8,0.7647058823529411,2.7,110.2,45,107.5,277,68.8,24,0.074,32,-3.2,54,102.6,138,105.8,331,,55
57,Albany,14,AE,24-8,24,8,0.75,2.5,104.0,122,101.5,151,61.3,322,0.06,48,-5.4,63,98.6,332,104.0,252,,148
58,Coastal Carolina,16,BSth,24-9,24,9,0.7272727272727273,1.8,103.8,133,102.0,158,64.4,191,0.006,173,-5.4,62,100.6,269,106.0,338,,186
59,Belmont,15,OVC,22-10,22,10,0.6875,1.6,107.9,63,106.3,252,67.1,68,0.071,34,-3.2,56,100.5,275,103.7,232,,195
60,North Dakota State,15,Sum,23-9,23,9,0.71875,1.4,101.1,193,99.7,109,61.1,327,0.117,7,-3.7,58,101.0,241,104.7,282,,283
61,Robert Morris,16,NEC,20-14,20,14,0.5882352941176471,-0.8,101.6,187,102.4,168,65.7,127,0.048,69,-3.9,59,100.8,255,104.7,283,,87
62,Lafayette,16,Pat,20-12,20,12,0.625,-2.7,110.4,39,113.1,338,65.0,162,0.078,26,-3.2,55,101.3,220,104.5,273,,129
63,Texas Southern,15,SWAC,22-12,22,12,0.6470588235294118,-3.2,101.7,178,104.9,221,64.0,217,0.131,3,-5.2,60,99.1,323,104.3,265,,1
64,Hampton,16,MEAC,17-17,17,17,0.5,-5.9,95.6,300,101.5,150,69.7,15,0.029,112,-6.8,64,98.0,341,104.8,286,,189
