Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Kentucky,1,SEC,34-0,34,0,1.0,34.3,120.0,5,85.7,2,63.4,253,0.055,54,6.5,21,105.5,46,99.0,28,,99
2,Wisconsin,1,B10,31-3,31,3,0.9117647058823528,30.2,124.6,1,94.4,31,58.8,347,0.009,166,7.4,14,105.9,32,98.5,17,,37
3,Arizona,2,P12,31-3,31,3,0.9117647058823528,29.6,116.0,10,86.4,3,66.7,80,-0.028,251,5.4,32,105.1,57,99.7,51,,177
4,Villanova,1,BE,32-2,32,2,0.9411764705882352,28.5,120.8,4,92.3,12,64.5,185,0.044,73,6.5,23,105.1,58,98.6,21,,163
5,Virginia,2,ACC,29-3,29,3,0.90625,26.7,112.2,25,85.5,1,58.2,349,0.032,98,6.5,22,105.6,44,99.1,32,,159
6,Duke,1,ACC,29-4,29,4,0.8787878787878788,25.7,121.9,3,96.2,58,66.3,103,0.067,42,7.7,13,107.0,8,99.3,37,,116
7,Gonzaga,2,WCC,32-2,32,2,0.9411764705882352,24.6,118.8,7,94.2,27,65.0,158,0.013,151,2.3,40,104.1,85,101.8,128,,46
8,Utah,5,P12,24-8,24,8,0.75,22.6,113.1,21,90.5,8,61.2,324,-0.056,307,6.0,26,105.6,43,99.6,48,,150
9,Notre Dame,3,ACC,29-5,29,5,0.8529411764705882,22.3,122.1,2,99.8,111,64.2,204,0.064,44,3.6,36,104.3,77,100.7,92,,347
10,Iowa State,3,B12,25-8,25,8,0.7575757575757576,21.2,118.9,6,97.7,82,69.6,17,0.023,128,8.9,7,106.4,17,97.5,5,,216
11,Northern Iowa,5,MVC,30-3,30,3,0.9090909090909092,20.8,114.0,14,93.2,17,58.5,348,0.01,158,0.6,46,102.1,171,101.5,120,,153
12,Oklahoma,3,B12,22-10,22,10,0.6875,20.4,109.3,51,88.9,5,67.7,44,-0.046,288,9.6,3,107.9,3,98.3,14,,115
13,Baylor,3,B12,24-9,24,9,0.7272727272727273,20.4,114.9,13,94.5,33,62.2,299,-0.018,223,9.1,4,106.5,14,97.4,4,,169
14,Wichita State,7,MVC,28-4,28,4,0.875,20.3,113.2,20,92.9,15,62.1,301,0.018,135,1.7,44,102.0,179,100.3,76,,61
15,Kansas,2,B12,26-8,26,8,0.7647058823529411,20.3,110.8,37,90.5,7,67.4,56,0.079,24,12.0,1,108.5,1,96.5,1,,11
16,North Carolina,4,ACC,24-11,24,11,0.6857142857142857,20.0,115.2,12,95.2,42,70.0,9,-0.034,269,10.5,2,108.1,2,97.6,6,,15
17,Michigan State,7,B10,23-11,23,11,0.6764705882352942,17.7,113.9,15,96.2,57,63.7,235,-0.053,300,7.0,17,107.0,9,100.0,65,,178
18,Texas,11,B12,20-13,20,13,0.6060606060606061,17.0,110.3,41,93.3,19,62.3,294,-0.071,325,8.2,10,106.2,28,98.0,10,,201
19,Southern Methodist,6,Amer,27-6,27,6,0.8181818181818182,16.8,112.0,26,95.2,43,63.8,228,0.014,146,2.3,41,103.1,112,100.8,96,,107
20,Ohio State,10,B10,23-10,23,10,0.696969696969697,16.6,111.5,30,94.9,39,66.4,97,-0.051,298,4.2,35,105.0,61,100.8,98,,330
