Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Kentucky,1,SEC,32-2,32,2,0.9411764705882352,33.6,120.8,3,87.2,6,65.7,191,0.025,108,6.8,27,104.7,40,97.9,41,,149
2,Ohio State,2,B10,27-7,27,7,0.7941176470588235,32.8,117.1,7,84.3,1,67.9,84,-0.053,293,10.1,3,107.6,5,97.5,25,,237
3,Michigan State,1,B10,27-7,27,7,0.7941176470588235,31.7,116.6,10,84.9,3,65.6,197,-0.037,255,11.2,2,107.4,6,96.2,3,,185
4,Kansas,2,B12,27-6,27,6,0.8181818181818182,29.3,117.0,9,87.7,8,67.7,95,0.01,150,10.0,5,105.8,22,95.8,1,,47
5,Missouri,2,B12,30-4,30,4,0.8823529411764706,29.2,125.4,1,96.2,76,66.3,152,0.033,89,6.3,30,104.4,50,98.1,46,,314
6,North Carolina,1,ACC,29-5,29,5,0.8529411764705882,27.9,116.5,12,88.6,12,72.2,9,0.014,138,7.7,20,105.4,34,97.7,30,,86
7,Syracuse,1,BE,31-2,31,2,0.9393939393939394,27.3,116.2,14,88.9,15,65.9,186,0.064,34,7.2,25,105.0,39,97.8,35,,214
8,Wisconsin,4,B10,24-9,24,9,0.7272727272727273,26.7,112.5,25,85.8,4,58.9,344,-0.01,200,9.3,6,106.3,13,97.0,14,,257
9,Wichita State,5,MVC,27-5,27,5,0.84375,26.1,116.5,11,90.4,19,67.0,125,-0.001,178,3.8,37,103.2,78,99.4,99,,82
10,Indiana,4,B10,25-8,25,8,0.7575757575757576,25.9,120.3,4,94.4,55,67.5,106,0.001,171,8.8,11,105.8,21,97.0,12,,271
11,Memphis,8,CUSA,26-8,26,8,0.7647058823529411,25.6,114.2,19,88.6,11,68.3,69,-0.056,300,5.3,31,103.4,69,98.1,48,,23
12,Baylor,3,B12,27-7,27,7,0.7941176470588235,23.2,116.0,15,92.8,32,66.5,145,0.057,44,8.8,12,106.2,14,97.4,23,,279
13,New Mexico,5,MWC,27-6,27,6,0.8181818181818182,22.4,111.0,33,88.6,13,66.7,137,0.012,144,2.0,43,102.0,129,100.0,123,,298
14,Georgetown,3,BE,23-8,23,8,0.7419354838709677,22.4,109.7,47,87.3,7,63.3,294,0.001,172,8.5,15,105.6,28,97.1,16,,133
15,Florida,7,SEC,23-10,23,10,0.696969696969697,22.3,120.8,2,98.5,121,64.9,234,-0.035,252,7.4,23,104.0,62,96.6,8,,160
16,Vanderbilt,5,SEC,24-10,24,10,0.7058823529411765,22.3,114.8,18,92.5,31,65.5,198,-0.041,264,8.2,17,106.0,17,97.8,32,,92
17,Duke,2,ACC,27-6,27,6,0.8181818181818182,22.3,117.0,8,94.7,62,67.6,100,0.072,24,10.1,4,106.6,8,96.5,7,,14
18,Saint Louis,9,A10,25-7,25,7,0.78125,21.8,110.4,38,88.6,10,62.8,303,-0.051,286,3.3,41,102.8,98,99.5,100,,229
19,Marquette,3,BE,25-7,25,7,0.78125,21.2,112.2,27,91.0,20,71.4,15,0.048,63,8.1,18,104.6,45,96.5,6,,182
20,Purdue,10,B10,21-12,21,12,0.6363636363636364,20.2,117.4,6,97.2,93,65.5,203,-0.0,174,9.3,8,107.0,7,97.7,31,,234
21,Belmont,14,ASun,27-7,27,7,0.7941176470588235,20.1,116.3,13,96.2,79,68.4,67,-0.018,215,-0.7,49,101.4,151,102.1,193,,57
22,Michigan,4,B10,24-9,24,9,0.7272727272727273,19.4,113.4,20,94.0,48,61.4,326,0.07,27,11.5,1,107.8,2,96.3,4,,187
23,Kansas State,8,B12,21-10,21,10,0.6774193548387096,19.3,109.7,46,90.4,18,67.2,115,-0.037,257,7.9,19,105.2,36,97.3,22,,269
24,Florida State,3,ACC,24-9,24,9,0.7272727272727273,19.3,107.9,63,88.6,14,67.7,97,0.039,81,8.7,14,105.8,20,97.1,15,,91
25,Louisville,4,BE,26-9,26,9,0.7428571428571429,19.0,103.7,123,84.7,2,67.7,99,0.021,120,8.8,13,106.1,15,97.3,19,,151
26,Texas,11,B12,20-13,20,13,0.6060606060606061,18.4,112.3,26,93.9,46,66.0,172,-0.057,302,9.3,7,106.6,9,97.3,20,,184
