Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
27,Iowa State,8,B12,22-10,22,10,0.6875,17.8,111.8,30,94.0,47,67.3,112,-0.01,198,7.4,22,105.4,33,98.0,43,,273
28,Virginia,10,ACC,22-9,22,9,0.7096774193548387,17.8,104.8,104,87.0,5,60.4,339,-0.044,268,3.7,38,102.8,96,99.1,87,,311
29,Cincinnati,6,BE,24-10,24,10,0.7058823529411765,17.3,109.6,49,92.3,28,63.7,281,0.012,143,5.2,32,103.1,84,97.9,39,,338
30,Creighton,8,MVC,28-5,28,5,0.8484848484848485,17.3,119.0,5,101.7,180,67.0,122,0.074,21,2.8,42,102.5,106,99.7,106,,194
31,Gonzaga,7,WCC,25-6,25,6,0.8064516129032258,17.1,110.0,43,92.9,33,65.9,182,-0.009,194,0.7,45,102.5,109,101.8,177,,139
32,Alabama,9,SEC,21-11,21,11,0.65625,16.5,104.4,112,87.9,9,63.4,288,-0.051,288,7.5,21,105.8,23,98.3,54,,50
33,UNLV,6,MWC,26-8,26,8,0.7647058823529411,16.3,108.7,59,92.4,29,69.6,30,0.02,121,4.4,36,103.3,74,98.9,77,,155
34,Temple,5,A10,24-7,24,7,0.7741935483870968,16.2,113.4,21,97.2,92,66.9,126,0.045,70,6.8,28,105.4,32,98.6,60,,19
35,UConn,9,BE,20-13,20,13,0.6060606060606061,16.0,110.2,41,94.2,51,63.9,276,-0.033,250,9.0,9,105.9,19,96.9,10,,169
36,Long Beach State,12,BW,25-8,25,8,0.7575757575757576,15.5,108.8,58,93.3,39,67.3,113,-0.038,259,1.0,44,102.4,111,101.4,164,,2
37,Harvard,12,Ivy,26-4,26,4,0.8666666666666667,15.1,107.3,72,92.2,27,61.2,329,0.033,88,-0.9,51,99.4,256,100.3,128,,135
38,Notre Dame,7,BE,22-11,22,11,0.6666666666666666,15.1,109.5,50,94.4,58,61.3,327,0.046,67,6.9,26,104.6,44,97.7,29,,240
39,West Virginia,10,BE,19-13,19,13,0.59375,15.0,110.6,36,95.6,70,64.9,226,-0.028,238,8.3,16,105.6,26,97.3,21,,116
40,Saint Mary's,7,WCC,27-5,27,5,0.84375,15.0,112.5,24,97.5,102,64.0,272,0.054,49,-1.0,52,101.7,140,102.7,229,,248
41,North Carolina State,11,ACC,22-12,22,12,0.6470588235294118,14.9,111.0,34,96.1,73,68.1,81,-0.002,180,6.4,29,104.3,52,97.9,40,,100
42,VCU,12,CAA,28-6,28,6,0.8235294117647058,13.9,106.1,90,92.2,26,66.3,150,0.034,87,0.0,47,99.4,257,99.4,98,,103
43,Murray State,6,OVC,30-1,30,1,0.967741935483871,13.5,107.7,67,94.2,52,66.0,171,0.039,80,-4.1,58,100.1,215,104.2,299,,59
44,St. Bonaventure,14,A10,20-11,20,11,0.6451612903225806,13.4,110.3,40,96.9,88,64.2,265,-0.01,197,3.5,39,103.3,71,99.8,113,,176
45,BYU,14,WCC,26-8,26,8,0.7647058823529411,13.3,104.6,109,91.3,21,73.4,5,0.021,119,0.1,46,102.8,95,102.7,221,,166
46,South Dakota State,14,Sum,27-7,27,7,0.7941176470588235,13.1,112.0,28,98.9,126,65.6,194,0.041,77,-2.7,57,100.9,176,103.6,278,,114
47,San Diego State,6,MWC,26-7,26,7,0.7878787878787878,12.6,106.1,89,93.5,42,66.7,138,0.057,45,3.3,40,103.0,89,99.7,109,,276
48,Xavier,10,A10,21-12,21,12,0.6363636363636364,12.3,107.2,73,94.9,64,67.6,101,0.032,93,7.4,24,105.6,27,98.2,51,,44
49,South Florida,12,BE,21-13,21,13,0.6176470588235294,12.2,101.2,165,89.0,16,59.8,342,0.051,56,8.9,10,105.9,18,97.0,13,,74
50,New Mexico State,13,WAC,26-9,26,9,0.7428571428571429,12.1,107.6,68,95.5,69,70.8,19,-0.045,270,-1.2,53,101.4,152,102.6,218,,197
51,Davidson,13,SC,25-7,25,7,0.78125,11.7,110.4,37,98.7,123,68.1,80,0.019,123,-2.6,56,100.2,210,102.8,230,,9
52,Southern Miss,9,CUSA,25-8,25,8,0.7575757575757576,10.4,109.4,51,99.0,130,64.9,228,0.051,57,4.6,34,103.2,76,98.6,65,,113
53,Ohio,13,MAC,27-7,27,7,0.7941176470588235,10.4,104.2,117,93.8,45,67.2,116,0.021,117,-1.4,54,101.0,174,102.4,204,,275
54,Colorado State,11,MWC,20-11,20,11,0.6451612903225806,10.2,111.8,29,101.6,176,64.7,246,0.077,19,5.1,33,103.3,72,98.2,52,,127
55,Colorado,11,P12,23-11,23,11,0.6764705882352942,9.6,103.1,134,93.5,43,65.5,202,0.075,20,4.4,35,103.3,73,98.9,76,,131
56,Lehigh,15,Pat,26-7,26,7,0.7878787878787878,9.3,106.6,84,97.3,99,68.6,58,-0.035,253,-6.2,62,98.0,302,104.2,301,,283
57,Montana,13,BSky,25-6,25,6,0.8064516129032258,8.1,101.7,156,93.6,44,65.6,193,0.041,75,-6.5,63,100.2,207,106.7,344,,175
58,Vermont,16,AE,24-11,24,11,0.6857142857142857,6.1,103.6,125,97.5,101,63.3,293,-0.029,242,-5.6,60,97.2,320,102.8,232,,179
59,Detroit,15,Horz,22-13,22,13,0.6285714285714286,5.4,107.1,74,101.7,179,68.2,75,-0.01,195,-0.7,48,100.0,220,100.7,144,,137
60,UNC Asheville,16,BSth,24-9,24,9,0.7272727272727273,5.0,107.7,66,102.7,197,69.5,34,0.009,151,-4.4,59,99.9,228,104.3,302,,17
61,Loyola (MD),15,MAAC,24-8,24,8,0.75,4.4,102.9,139,98.5,120,64.1,266,0.11,6,-2.2,55,100.2,208,102.4,208,,145
62,Long Island,16,NEC,25-8,25,8,0.7575757575757576,-0.2,106.9,80,107.1,271,74.5,2,0.106,7,-6.0,61,97.7,310,103.7,283,,226
63,Western Kentucky,16,SB,16-18,16,18,0.4705882352941176,-3.3,95.9,253,99.2,132,69.0,48,0.084,18,-0.8,50,100.0,223,100.8,148,,117
64,Norfolk State,15,MEAC,25-9,25,9,0.7352941176470589,-4.8,96.7,239,101.5,174,67.7,94,0.159,1,-8.3,64,97.3,317,105.6,338,,126
