Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Louisville,4,Amer,29-5,29,5,0.8529411764705882,26.8,117.4,10,90.6,6,68.9,59,-0.044,275,2.7,44,105.9,108,103.2,101,,295
2,Florida,1,SEC,32-2,32,2,0.9411764705882352,26.3,116.1,15,89.8,4,63.2,314,0.059,52,7.1,13,107.8,45,100.7,11,,93
3,Arizona,1,P12,30-4,30,4,0.8823529411764706,25.5,112.7,36,87.2,1,64.3,274,0.024,124,7.1,12,108.3,26,101.2,30,,99
4,Wichita State,1,MVC,34-0,34,0,1.0,24.8,117.6,9,92.8,10,65.0,245,0.009,162,0.8,46,105.1,131,104.3,149,,90
5,Virginia,1,ACC,28-6,28,6,0.8235294117647058,24.7,114.1,22,89.4,3,61.0,346,0.028,114,7.6,8,108.5,21,100.9,17,,117
6,Duke,3,ACC,26-8,26,8,0.7647058823529411,23.2,124.5,2,101.3,96,66.0,195,-0.026,240,8.3,3,108.6,19,100.3,7,,92
7,Creighton,3,BE,26-7,26,7,0.7878787878787878,21.9,125.0,1,103.1,136,65.1,241,-0.009,206,6.0,28,106.9,72,100.9,16,,150
8,Kansas,2,B12,24-9,24,9,0.7272727272727273,21.4,118.5,6,97.1,46,68.2,80,-0.04,268,10.7,1,110.9,1,100.2,5,,11
9,Villanova,2,BE,28-4,28,4,0.875,21.1,115.3,18,94.2,16,67.1,130,0.086,19,6.7,19,109.5,4,102.8,92,,85
10,Tennessee,11,SEC,22-12,22,12,0.6470588235294118,20.5,114.2,21,93.7,13,62.9,324,-0.091,338,6.9,16,108.0,38,101.1,23,,111
11,Michigan State,4,B10,26-8,26,8,0.7647058823529411,20.3,117.0,11,96.7,42,65.7,213,-0.009,207,7.5,9,108.3,25,100.8,13,,155
12,Wisconsin,2,B10,26-7,26,7,0.7878787878787878,20.1,119.0,5,98.9,60,64.3,272,0.02,135,8.2,5,108.2,34,100.0,3,,73
13,Michigan,2,B10,25-8,25,8,0.7575757575757576,20.0,121.9,3,101.9,110,62.8,326,0.055,65,8.3,4,108.3,27,100.0,4,,158
14,Kentucky,8,SEC,24-10,24,10,0.7058823529411765,19.2,115.3,17,96.1,26,66.0,193,-0.06,309,7.7,7,108.6,18,100.9,15,,62
15,Syracuse,3,ACC,27-5,27,5,0.84375,19.2,113.3,34,94.1,15,61.3,343,0.035,100,6.3,25,108.7,16,102.4,82,,226
16,Pittsburgh,9,ACC,25-9,25,9,0.7352941176470589,18.9,115.2,19,96.3,34,64.0,293,-0.047,284,6.4,24,107.2,63,100.8,12,,281
17,UCLA,4,P12,26-8,26,8,0.7647058823529411,18.6,116.4,14,97.8,53,70.0,31,-0.015,218,5.4,34,107.6,48,102.2,72,,271
18,VCU,5,A10,26-8,26,8,0.7647058823529411,18.5,107.9,108,89.4,2,70.7,21,-0.044,277,5.2,35,106.8,74,101.6,42,,103
19,Gonzaga,8,WCC,28-6,28,6,0.8235294117647058,17.9,111.6,48,93.7,14,66.1,191,-0.006,199,3.2,42,107.8,43,104.6,169,,125
20,Iowa State,3,B12,26-7,26,7,0.7878787878787878,17.8,115.7,16,97.9,54,71.7,13,0.072,33,8.5,2,110.1,2,101.6,43,,141
21,Oklahoma State,9,B12,21-12,21,12,0.6363636363636364,17.7,113.8,26,96.1,27,68.5,72,-0.101,342,6.6,21,108.3,29,101.7,47,,259
22,Ohio State,6,B10,25-9,25,9,0.7352941176470589,16.8,106.9,124,90.1,5,65.4,225,-0.028,243,6.2,26,108.0,36,101.8,51,,272
23,San Diego State,4,MWC,29-4,29,4,0.8787878787878788,16.8,107.9,106,91.1,7,64.1,285,0.078,26,2.9,43,106.4,91,103.5,108,,109
24,North Carolina,6,ACC,23-9,23,9,0.71875,16.8,111.2,53,94.4,19,70.9,18,0.006,169,7.5,11,109.3,5,101.8,53,,130
25,UConn,7,Amer,26-8,26,8,0.7647058823529411,16.6,109.5,77,92.9,11,65.0,247,0.059,53,6.0,29,107.5,55,101.5,38,,174
