Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
26,Cincinnati,5,Amer,27-6,27,6,0.8181818181818182,16.4,107.9,110,91.5,9,63.1,318,0.05,72,3.4,41,106.1,99,102.7,88,,293
27,Baylor,6,B12,24-11,24,11,0.6857142857142857,16.3,118.4,7,102.1,114,62.6,329,0.012,153,8.0,6,109.0,11,101.0,18,,168
28,Oklahoma,5,B12,23-9,23,9,0.71875,16.3,116.7,12,100.4,83,71.3,17,-0.012,210,7.5,10,108.8,14,101.3,34,,163
29,New Mexico,7,MWC,27-6,27,6,0.8181818181818182,16.1,112.7,38,96.6,40,66.1,192,0.044,82,3.5,40,106.6,85,103.1,97,,87
30,Oregon,7,P12,23-9,23,9,0.71875,15.8,116.6,13,100.8,93,68.8,64,-0.032,250,5.4,33,107.4,58,102.0,59,,214
31,Harvard,12,Ivy,26-4,26,4,0.8666666666666667,14.7,111.2,54,96.5,35,65.1,242,0.024,129,-1.4,53,103.2,247,104.6,172,,139
32,Saint Louis,5,A10,26-6,26,6,0.8125,13.4,104.6,176,91.2,8,67.2,129,0.024,125,3.8,38,106.1,101,102.3,79,,203
33,Stanford,10,P12,21-12,21,12,0.6363636363636364,13.1,112.1,41,99.0,64,66.5,169,0.006,171,7.0,14,108.2,35,101.2,28,,102
34,Memphis,8,Amer,23-9,23,9,0.71875,12.8,110.5,61,97.7,52,69.4,49,0.039,92,5.4,32,107.0,70,101.6,44,,145
35,Texas,7,B12,23-10,23,10,0.696969696969697,12.8,109.3,80,96.5,36,68.2,85,0.086,18,6.9,18,109.1,8,102.2,75,,248
36,Providence,11,BE,23-11,23,11,0.6764705882352942,12.5,113.6,30,101.1,95,64.9,253,0.068,42,7.0,15,108.2,33,101.2,29,,160
37,George Washington,9,A10,24-8,24,8,0.75,12.4,109.3,83,96.9,45,67.3,120,0.07,39,4.5,37,106.5,90,102.0,63,,178
38,BYU,10,WCC,23-11,23,11,0.6764705882352942,12.3,113.7,28,101.4,99,72.2,8,-0.007,201,5.4,31,108.2,32,102.8,91,,26
39,Kansas State,9,B12,20-12,20,12,0.625,12.2,107.9,113,95.7,24,65.4,229,0.012,152,6.2,27,108.9,13,102.7,90,,296
40,Saint Joseph's,10,A10,24-9,24,9,0.7272727272727273,12.1,110.3,64,98.2,55,65.7,209,0.091,14,5.0,36,106.7,82,101.7,48,,172
41,Dayton,11,A10,23-10,23,10,0.696969696969697,12.0,113.3,33,101.3,97,65.2,237,0.019,139,3.8,39,106.3,94,102.5,83,,199
42,Nebraska,11,B10,19-12,19,12,0.6129032258064516,11.7,107.9,107,96.2,29,66.2,186,0.052,69,6.7,20,106.7,83,100.0,2,,205
43,Arizona State,10,P12,21-11,21,11,0.65625,11.7,108.0,104,96.3,33,69.2,54,0.019,138,5.5,30,107.3,61,101.8,52,,267
44,North Carolina State,12,ACC,22-13,22,13,0.6285714285714286,11.6,114.0,23,102.4,120,66.0,194,0.08,24,6.9,17,107.8,42,100.9,14,,277
45,Stephen F. Austin,12,Slnd,31-2,31,2,0.9393939393939394,11.5,112.0,42,100.5,85,63.6,303,0.051,70,-6.8,62,101.8,314,108.6,330,,285
46,Massachusetts,6,A10,24-8,24,8,0.75,11.5,108.4,96,96.9,44,71.6,14,0.053,68,6.6,22,107.1,68,100.5,9,,45
47,North Dakota State,12,Sum,25-6,25,6,0.8064516129032258,11.4,114.5,20,103.1,135,64.2,278,0.071,37,0.6,47,106.0,104,105.4,213,,37
48,Manhattan,13,MAAC,25-7,25,7,0.78125,9.3,105.9,143,96.6,39,69.5,44,-0.003,193,-0.5,52,105.0,132,105.5,218,,67
49,New Mexico State,13,WAC,26-9,26,9,0.7428571428571429,9.1,111.9,43,102.8,129,66.5,170,-0.017,221,-2.9,56,103.1,250,106.0,244,,97
50,Tulsa,13,CUSA,21-12,21,12,0.6363636363636364,9.1,105.2,160,96.1,28,68.5,74,-0.025,235,0.5,48,104.2,174,103.7,120,,71
51,Colorado,8,P12,23-11,23,11,0.6764705882352942,9.1,105.7,150,96.6,38,66.4,173,0.11,8,6.6,23,107.8,41,101.2,31,,143
52,NC Central,14,MEAC,28-5,28,5,0.8484848484848485,8.9,107.7,115,98.8,59,64.3,276,0.037,97,-8.2,64,98.6,349,106.8,276,,173
53,Mercer,14,ASun,26-8,26,8,0.7647058823529411,6.2,107.9,105,101.7,108,65.0,246,0.007,164,-4.9,58,102.7,278,107.6,303,,61
54,American,15,Pat,20-12,20,12,0.625,5.8,103.1,203,97.3,48,61.4,342,-0.032,251,-2.3,54,103.1,248,105.4,214,,166
55,Delaware,13,CAA,25-9,25,9,0.7352941176470589,5.6,111.1,56,105.5,183,72.1,9,0.059,54,-0.2,50,105.0,136,105.2,199,,66
56,Western Michigan,14,MAC,23-9,23,9,0.71875,4.2,106.6,128,102.4,119,66.9,147,0.086,20,-2.3,55,103.2,245,105.5,215,,287
57,Louisiana-Lafayette,14,SB,23-11,23,11,0.6764705882352942,4.1,109.7,74,105.6,190,69.9,38,0.046,80,-0.2,51,104.5,154,104.7,176,,39
58,Eastern Kentucky,15,OVC,24-9,24,9,0.7272727272727273,3.6,111.6,46,108.0,235,66.1,188,0.041,89,-4.1,57,104.0,183,108.1,321,,253
59,Milwaukee,15,Horz,21-13,21,13,0.6176470588235294,-0.7,104.4,179,105.1,175,67.5,111,0.12,3,0.0,49,103.8,199,103.8,125,,221
60,Cal Poly,16,BW,14-19,14,19,0.4242424242424242,-0.8,104.0,186,104.8,171,60.2,347,-0.052,300,2.0,45,106.8,73,104.8,184,,9
61,Albany,16,AE,19-14,19,14,0.5757575757575758,-1.2,102.0,223,103.2,140,63.1,319,0.006,170,-4.9,60,101.2,329,106.1,251,,134
62,Wofford,15,SC,20-12,20,12,0.625,-1.5,101.1,234,102.6,125,62.0,338,0.024,127,-4.9,59,103.5,223,108.4,326,,21
63,Weber State,16,BSky,19-11,19,11,0.6333333333333333,-1.7,105.1,164,106.8,214,64.4,270,-0.001,186,-6.8,61,103.1,252,109.9,350,,43
64,Coastal Carolina,16,BSth,21-12,21,12,0.6363636363636364,-4.3,97.6,291,101.9,111,67.1,131,0.042,84,-7.3,63,102.3,294,109.6,347,,298
