YEAR,BY YEAR NO,BY ROUND NO,Team1_NO,Team1,Seed1,ROUND,CURRENT ROUND,Score1,Team2_NO,Team2,Seed2,ROUND.1,CURRENT ROUND.1,Score2,Team1_Win,Rank,Team,Conference,W-L,AdjEM,AdjustO,AdjustO Rank,AdjustD,AdjustD Rank,AdjustT,AdjustT Rank,Luck,Luck Rank,SOS AdjEM,SOS AdjEM Rank,SOS OppO,SOS OppO Rank,SOS OppD,SOS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank,Year,Rank_Team2,Team_Team2,Conference_Team2,W-L_Team2,AdjEM_Team2,AdjustO_Team2,AdjustO Rank_Team2,AdjustD_Team2,AdjustD Rank_Team2,AdjustT_Team2,AdjustT Rank_Team2,Luck_Team2,Luck Rank_Team2,SOS AdjEM_Team2,SOS AdjEM Rank_Team2,SOS OppO_Team2,SOS OppO Rank_Team2,SOS OppD_Team2,SOS OppD Rank_Team2,NCSOS AdjEM_Team2,NCSOS AdjEM Rank_Team2,Year_Team2,Bart_Team,Bart_Rank,Bart_AdjOE,Bart_AdjDE,Bart_Barthag,Bart_AdjT,Bart_SOS,Bart_NCSOS,Bart_EliteSOS,Bart_WAB,Bart_QualO,Bart_QualD,Bart_QualBarthag,Bart_Year,Bart_Team_Team2,Bart_Rank_Team2,Bart_AdjOE_Team2,Bart_AdjDE_Team2,Bart_Barthag_Team2,Bart_AdjT_Team2,Bart_SOS_Team2,Bart_NCSOS_Team2,Bart_EliteSOS_Team2,Bart_WAB_Team2,Bart_QualO_Team2,Bart_QualD_Team2,Bart_QualBarthag_Team2,Bart_Year_Team2
2025,2036,10,0,Clemson,5,64,64,67.0,0,McNeese,12,64,64,69.0,0,18.0,Clemson,ACC,27-6,23.93,118.7,24.0,94.8,16.0,64.3,327.0,-0.032,267.0,8.32,68.0,111.5,63.0,103.2,73.0,3.69,79.0,2025.0,59.0,McNeese,Slnd,27-6,13.8,114.3,63.0,100.5,66.0,65.4,283.0,-0.023,249.0,-2.35,204.0,104.8,267.0,107.1,164.0,8.97,23.0,2025.0,Clemson,21.0,118.34516711713442,94.84972901401568,0.9272425646497676,64.26135653071098,0.6671529306440832,0.5678166920488562,0.7351813911888716,4.8759799012337535,123.35016119273236,99.4669222465884,0.9223578632400536,2025.0,McNeese,63.0,113.41426926012652,100.7421184660552,0.7961750153092221,65.24875549378324,0.4153037257778515,0.5443064275336428,0.8663479102987977,-0.8565022487997853,106.0260033652786,89.94819922168284,0.8688900195679315,2025.0
2025,2036,11,0,Purdue,4,64,64,75.0,0,High Point,13,64,64,63.0,1,19.0,Purdue,B10,22-11,23.87,124.3,7.0,100.4,64.0,65.0,297.0,-0.007,198.0,15.76,9.0,115.4,6.0,99.7,15.0,10.41,18.0,2025.0,84.0,High Point,BSth,29-5,9.35,118.5,25.0,109.2,226.0,66.5,222.0,0.011,147.0,-5.44,297.0,104.4,282.0,109.9,317.0,-5.81,328.0,2025.0,Purdue,18.0,125.04646410526856,100.00302881969267,0.9289107434789338,65.04192847293521,0.7848905005121233,0.6686274963412914,0.6200125060885685,4.25577330541205,141.18396453339858,115.25081671629648,0.9116507553267028,2025.0,High Point,85.0,117.70870871548344,108.13648361243916,0.7261978260514323,66.47224163549359,0.3415740820082095,0.330454288806095,0.919281932186038,-1.8224910698660748,0.0,0.0,0.0,2025.0
2025,2036,12,0,Illinois,6,64,64,86.0,0,Xavier,11,64,64,73.0,1,20.0,Illinois,B10,21-12,23.59,121.7,15.0,98.1,41.0,71.4,18.0,-0.018,230.0,15.98,6.0,115.0,10.0,99.0,7.0,3.41,83.0,2025.0,41.0,Xavier,BE,22-11,17.54,116.2,43.0,98.7,46.0,69.1,76.0,-0.011,213.0,9.75,59.0,111.3,66.0,101.6,53.0,-1.14,210.0,2025.0,Illinois,23.0,122.20739327252514,98.4886003496994,0.922831511465484,71.33264472419656,0.746932868773005,0.532800579806566,0.6070149546600775,3.3619645960154543,136.8287672692517,110.0578097556156,0.9244100030389252,2025.0,Xavier,37.0,116.25627781985904,97.78887417673567,0.8796734768565391,69.01540347272018,0.6677887501490117,0.4904079461241158,0.7087656262426645,0.3476685925818504,128.75104908012352,112.40781876339362,0.8265100914324379,2025.0
2025,2036,13,0,Kentucky,3,64,64,76.0,0,Troy,14,64,64,57.0,1,16.0,Kentucky,SEC,22-11,24.26,123.8,8.0,99.6,56.0,71.0,23.0,0.007,157.0,17.86,3.0,116.9,3.0,99.0,6.0,3.76,75.0,2025.0,93.0,Troy,SB,23-10,7.18,107.8,152.0,100.6,67.0,66.3,230.0,-0.009,204.0,-2.58,217.0,105.5,232.0,108.1,207.0,1.35,133.0,2025.0,Kentucky,17.0,123.86159609102384,98.71417667562832,0.9314874918639106,70.86709737975919,0.7649901798815494,0.5674244679415512,0.5722998901446886,5.552137292865328,137.48666708730067,111.4130420354713,0.9182083630152562,2025.0,Troy,103.0,106.67792964798564,100.64847663272514,0.6612955945589161,66.13744072317262,0.4005064085649246,0.4234022055157102,0.853553109310456,-4.496858183298108,89.38237362537917,94.3204554858218,0.3501436737877115,2025.0
2025,2036,14,0,UCLA,7,64,64,72.0,0,Utah St.,10,64,64,47.0,1,27.0,UCLA,B10,22-10,21.78,116.9,36.0,95.1,17.0,64.9,301.0,-0.008,203.0,12.61,37.0,113.7,28.0,101.1,45.0,-5.19,313.0,2025.0,54.0,Utah St.,MWC,26-7,14.89,120.6,17.0,105.7,150.0,67.6,159.0,0.086,24.0,5.38,89.0,108.6,99.0,103.2,74.0,0.75,144.0,2025.0,UCLA,25.0,117.86968194711524,95.26033891315106,0.9204963288425208,65.02772641785505,0.6938732713322011,0.4291556478937879,0.6522627494998864,3.2554651319544723,135.67417623046003,114.64429744193136,0.8740059785720399,2025.0,Utah St.,48.0,122.55514819045165,105.1903015103342,0.8528442196416827,67.62987926868384,0.5955812557217361,0.4909140274405869,0.7667859722653478,2.3041995103328423,118.04023333670388,109.87922630925353,0.6950641313665328,2025.0
2025,2036,15,0,Tennessee,2,64,64,77.0,0,Wofford,15,64,64,62.0,1,5.0,Tennessee,SEC,27-7,31.14,120.3,18.0,89.1,3.0,63.7,346.0,0.016,135.0,15.96,7.0,116.7,4.0,100.7,34.0,-0.87,202.0,2025.0,122.0,Wofford,SC,19-15,4.05,113.6,69.0,109.5,231.0,64.1,333.0,-0.032,266.0,-0.81,163.0,106.7,162.0,107.6,180.0,5.16,47.0,2025.0,Tennessee,6.0,119.28529550141148,91.08197581226544,0.956984163533471,63.8229936153664,0.7487799562000357,0.5099483589765812,0.5955959693765928,9.26015249717268,125.42457726444874,94.2397838670782,0.9639945385363824,2025.0,Wofford,145.0,111.46830551280146,109.67187458381662,0.5465756970816286,63.93002788429958,0.4153466499428506,0.481123433833488,0.863704465591027,-9.694707563947986,67.74481795516354,106.96411871256282,0.0052067819112405,2025.0
2025,2036,16,0,Auburn,1,64,64,83.0,0,Alabama St.,16,64,64,63.0,1,4.0,Auburn,SEC,28-5,35.11,128.5,2.0,93.4,12.0,67.6,154.0,0.03,100.0,19.07,2.0,117.1,2.0,98.1,2.0,10.39,19.0,2025.0,273.0,Alabama St.,SWAC,20-15,-9.24,101.4,273.0,110.7,256.0,67.8,142.0,0.061,51.0,-8.81,355.0,100.7,359.0,109.5,298.0,6.22,45.0,2025.0,Auburn,3.0,129.04917339853188,93.65311137283548,0.975561477344148,67.77574259587571,0.8038577372933223,0.6607209056209858,0.5443640116901852,12.459737107999448,135.3611053985767,96.61814864310074,0.9797186529257336,2025.0,Alabama St.,274.0,100.5210269028191,109.61188581705112,0.2697961231028551,67.62595886430124,0.3238288657719619,0.5490130735112957,0.8897235098747746,-10.168527352275076,101.11000805260228,107.55358632227316,0.3294947720092031,2025.0
2025,2036,17,0,Louisville,8,64,64,75.0,0,Creighton,9,64,64,89.0,0,23.0,Louisville,ACC,27-7,22.7,118.2,29.0,95.5,21.0,68.8,91.0,0.058,55.0,10.43,54.0,112.7,45.0,102.3,59.0,7.11,39.0,2025.0,36.0,Creighton,BE,24-10,18.71,116.9,35.0,98.2,42.0,67.1,192.0,0.049,70.0,11.52,46.0,112.3,50.0,100.7,35.0,5.42,46.0,2025.0,Louisville,19.0,118.3423385524632,94.65936401717542,0.9287677547310204,68.80707854593469,0.7000843791755044,0.6232036176019552,0.695585118325352,5.531648130924962,139.69666702197273,115.25319754408947,0.9013159733952684,2025.0,Creighton,33.0,117.3335186987278,98.24147356684912,0.8851680777964978,67.13520597837474,0.7117836274752921,0.6071807754413183,0.6763486189772241,3.0887512429909125,125.11996439437652,101.73356682145342,0.915253016370582,2025.0
2025,2036,18,0,Michigan,5,64,64,68.0,0,UC San Diego,12,64,64,65.0,1,25.0,Michigan,B10,25-9,22.32,116.0,48.0,93.7,13.0,69.5,64.0,0.07,41.0,14.91,13.0,114.5,18.0,99.6,11.0,3.87,72.0,2025.0,37.0,UC San Diego,BW,30-4,18.4,115.1,60.0,96.7,32.0,65.7,272.0,0.01,152.0,-1.96,189.0,105.7,219.0,107.7,189.0,-2.01,233.0,2025.0,Michigan,26.0,115.120800732274,94.41608521893826,0.9072164328589624,69.42183897215929,0.7707128708469682,0.5902897697587259,0.6261886999434512,6.233451928942882,120.5161092511579,98.29353103132752,0.91245533075853,2025.0,UC San Diego,45.0,113.48179681676469,96.9882605180412,0.8588903147680947,65.78121707661147,0.4172311495907502,0.3809603518992303,0.8744377252579538,1.1624357487601769,103.2255792965631,89.50577186069276,0.8375425654246484,2025.0
2025,2036,19,0,Texas A&M,4,64,64,80.0,0,Yale,13,64,64,71.0,1,17.0,Texas A&M,SEC,22-10,24.06,116.2,44.0,92.1,7.0,66.2,238.0,0.001,175.0,16.14,5.0,115.5,5.0,99.4,10.0,7.1,40.0,2025.0,74.0,Yale,Ivy,22-7,11.03,115.1,58.0,104.1,119.0,67.2,183.0,-0.041,285.0,-2.54,215.0,106.5,176.0,109.0,258.0,-0.77,200.0,2025.0,Texas A&M,22.0,115.67569445335997,93.12112487650704,0.9237362568046,66.08263363883935,0.7747769467153652,0.6303087517461121,0.6050911296807561,5.169738417543416,127.91847030732494,103.50136729731211,0.9195164635127104,2025.0,Yale,79.0,113.90712469937938,103.71575402744372,0.7460941130047225,67.20831486854115,0.4095442593074984,0.4292027309157994,0.8725520626745185,-2.6945541263084873,122.89691369588826,107.89953507126958,0.8170775049017054,2025.0
2025,2036,20,0,Mississippi,6,64,64,71.0,0,North Carolina,11,64,64,64.0,1,26.0,Mississippi,SEC,22-11,22.09,117.9,31.0,95.8,23.0,68.1,130.0,0.018,132.0,15.82,8.0,115.2,8.0,99.3,8.0,-0.56,194.0,2025.0,30.0,North Carolina,ACC,23-13,20.63,119.8,19.0,99.2,52.0,70.5,34.0,-0.021,243.0,12.32,40.0,113.3,39.0,101.0,43.0,13.32,7.0,2025.0,Mississippi,28.0,117.39255839156333,96.94824535346484,0.9002927601464502,67.97668640599109,0.73702781105833,0.5056186873239632,0.5867593613263573,4.808460318206156,130.1196312479874,102.84654127653228,0.9373202884046148,2025.0,North Carolina,36.0,118.83144641983895,99.8108109165866,0.8814193352623475,70.56181812773895,0.7104994385497333,0.673354502689219,0.6480490717791205,1.4478753238440674,135.956935964609,118.68386282490212,0.8267204924858464,2025.0
2025,2036,21,0,Iowa St.,3,64,64,82.0,0,Lipscomb,14,64,64,55.0,1,10.0,Iowa St.,B12,24-9,27.01,119.5,21.0,92.5,10.0,68.6,103.0,-0.048,298.0,12.67,36.0,113.4,37.0,100.7,37.0,-0.85,201.0,2025.0,82.0,Lipscomb,ASun,25-9,9.45,112.7,74.0,103.3,101.0,65.9,259.0,-0.028,263.0,-4.58,282.0,105.6,227.0,110.2,334.0,3.97,69.0,2025.0,Iowa St.,8.0,118.87612577798704,92.34659861869484,0.9480502617321662,68.54014292227471,0.7339090052732286,0.5003855795963056,0.6379832004179375,5.410344931454126,131.20515442831768,99.20445768470066,0.9614008412608638,2025.0,Lipscomb,101.0,110.71750093175412,104.04104861241449,0.6715620779941108,66.08059604792534,0.3777913300596446,0.4696141434301202,0.8739509831359596,-4.127924111470148,99.63904968885308,104.10346299030635,0.3765876128388712,2025.0
2025,2036,22,0,Marquette,7,64,64,66.0,0,New Mexico,10,64,64,75.0,0,28.0,Marquette,BE,23-10,21.64,117.7,32.0,96.0,26.0,67.6,155.0,-0.013,215.0,12.6,38.0,113.2,40.0,100.6,30.0,8.79,24.0,2025.0,42.0,New Mexico,MWC,26-7,17.02,112.4,83.0,95.4,20.0,72.7,4.0,-0.0,179.0,6.02,82.0,109.0,93.0,103.0,70.0,5.14,49.0,2025.0,Marquette,31.0,116.66740721979816,96.533057775429,0.8983093838055206,67.71682147623659,0.7176051850507766,0.6205833869711477,0.6556163541815484,3.614108033847246,134.07326343271214,110.35398659651518,0.903694944464335,2025.0,New Mexico,40.0,111.74699802593857,94.9168352990928,0.8672911628918493,73.0736198486627,0.6106527913512327,0.5573798910355522,0.7558945686900288,2.777967944748994,121.27394205192424,98.63290341967536,0.9150130936138816,2025.0
2025,2036,23,0,Michigan St.,2,64,64,87.0,0,Bryant,15,64,64,62.0,1,8.0,Michigan St.,B10,27-6,27.62,118.2,28.0,90.6,5.0,67.8,143.0,-0.009,206.0,13.41,27.0,114.3,23.0,100.9,39.0,0.41,155.0,2025.0,148.0,Bryant,AE,23-11,1.17,106.8,177.0,105.6,149.0,72.5,7.0,-0.004,190.0,-7.04,318.0,103.0,314.0,110.0,326.0,0.4,156.0,2025.0,Michigan St.,13.0,116.8331226745475,91.83561523229206,0.9409543586767471,67.8592222437676,0.7332936821889642,0.5121700911947783,0.6600785222600336,7.840298234301583,119.61222131983055,91.40433009335068,0.9566057724934736,2025.0,Bryant,153.0,105.75260594129796,105.34019399968092,0.5112318977540249,72.33528694698586,0.314611156136135,0.4211447566668546,0.8966187635847311,-7.095921081728312,124.13777551336952,114.32409562986312,0.7205273319889365,2025.0
2025,2036,24,0,Florida,1,64,64,95.0,0,Norfolk St.,16,64,64,69.0,1,2.0,Florida,SEC,30-4,36.19,128.6,1.0,92.5,9.0,69.6,59.0,0.007,159.0,14.48,16.0,114.6,17.0,100.1,19.0,-1.97,232.0,2025.0,180.0,Norfolk St.,MEAC,24-10,-1.5,107.2,166.0,108.7,214.0,66.4,226.0,0.056,57.0,-7.18,325.0,103.1,306.0,110.3,336.0,3.09,90.0,2025.0,Florida,4.0,127.69877703124725,94.00594003308316,0.9713250279949716,69.51588046613504,0.7297111680538528,0.4708655005449901,0.6311185508171578,11.116490086186554,135.31163719313804,96.98152847860798,0.9787556305897936,2025.0,Norfolk St.,195.0,106.2145113868819,109.02890700581804,0.4253737744073407,66.30579220094414,0.3141499769537103,0.4334890219181669,0.8711289768084641,-5.3393795845459895,107.35129136531371,105.6712747575332,0.5452247582935404,2025.0
2025,2036,25,0,Connecticut,8,64,64,67.0,0,Oklahoma,9,64,64,59.0,1,34.0,Connecticut,BE,23-10,19.37,121.9,14.0,102.6,95.0,63.8,343.0,-0.019,234.0,10.16,55.0,112.2,52.0,102.0,54.0,-0.13,177.0,2025.0,38.0,Oklahoma,SEC,20-13,18.32,119.0,22.0,100.7,70.0,68.6,106.0,0.005,161.0,14.62,15.0,114.6,16.0,100.0,18.0,-5.42,323.0,2025.0,Connecticut,35.0,121.59511375949592,102.00998801420316,0.8828499476585918,63.7819844586174,0.6786382345405646,0.5088042299976502,0.6963619706135953,2.2080075237533108,127.61647659983306,103.46897704197548,0.9177538845840688,2025.0,Oklahoma,46.0,117.67297251300867,100.85520431704497,0.8549010905780345,68.4274962918466,0.7130841191802386,0.4406728219621346,0.6038485463177407,2.1218012758521456,130.2198942220768,109.82781949858231,0.8763783825737966,2025.0
2025,2036,26,0,Memphis,5,64,64,70.0,0,Colorado St.,12,64,64,78.0,0,50.0,Memphis,Amer,29-5,15.47,113.3,72.0,97.8,40.0,70.8,27.0,0.09,20.0,6.18,79.0,111.2,68.0,105.0,102.0,15.7,4.0,2025.0,43.0,Colorado St.,MWC,25-9,16.96,116.1,47.0,99.1,51.0,66.0,251.0,0.025,117.0,5.57,86.0,109.3,90.0,103.7,78.0,1.43,131.0,2025.0,Memphis,60.0,111.66923865341178,98.66776435979024,0.8058871961885561,70.65407670591019,0.628360838564593,0.7866159165201894,0.763885901276824,4.854867819812303,171.24130529113967,138.32849117353695,0.9208963505645824,2025.0,Colorado St.,38.0,116.87913274095185,98.59985199880578,0.876078972200789,66.01237358598875,0.6223328530885583,0.5562252604932058,0.7686586488476957,0.8922053173966205,121.18480332164866,107.11611090404588,0.8052032131393667,2025.0
